age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
18.0,1,7.79,2.76,0.07,4.47,6.91,93.0,19.0,9.55,2,0,1,0
21.0,2,7.72,1.83,2.48,1.89,6.09,223.0,116.0,8.42,1,0,1,0
20.0,2,6.19,1.01,2.39,2.28,6.23,94.0,120.0,7.66,0,1,1,0
30.0,1,4.53,1.98,1.07,1.3,5.25,90.0,122.0,5.78,0,0,1,0
22.0,0,5.7,3.82,2.78,3.13,5.3,121.0,96.0,6.93,2,0,2,0
21.0,0,3.09,1.92,2.04,3.35,7.11,167.0,71.0,4.7,1,0,2,0
18.0,2,7.34,2.12,3.68,0.97,8.24,206.0,51.0,8.71,1,0,1,0
33.0,2,6.13,1.04,2.89,2.99,4.8,31.0,44.0,6.69,1,1,1,0
27.0,2,4.26,2.23,1.8,0.79,6.12,22.0,139.0,5.1,1,0,1,0
29.0,0,7.79,3.78,0.67,5.88,5.82,166.0,83.0,10.67,2,1,1,0
24.0,1,7.45,2.28,1.13,3.51,5.09,238.0,139.0,9.92,2,1,1,0
22.0,2,7.3,1.76,0.36,4.93,4.96,114.0,91.0,8.14,0,1,1,0
27.0,2,4.85,3.84,0.75,2.65,7.41,220.0,76.0,6.59,0,1,1,0
30.0,2,3.74,3.45,2.46,2.03,5.89,150.0,67.0,6.68,0,0,1,0
20.0,2,5.79,2.91,3.81,1.81,5.6,131.0,44.0,7.42,2,1,1,0
32.0,2,7.6,0.8,3.44,1.42,5.21,217.0,41.0,10.34,2,1,1,0
32.0,1,5.45,0.91,0.81,4.79,7.13,59.0,42.0,6.36,1,0,1,0
22.0,1,3.82,1.87,1.42,3.32,7.55,86.0,59.0,4.4,1,0,2,0
19.0,0,4.51,3.66,3.29,2.67,4.63,194.0,124.0,5.44,0,1,1,0
22.0,0,5.98,0.93,1.39,2.26,7.36,42.0,178.0,8.3,1,0,2,0
24.0,0,5.25,0.87,1.03,1.09,4.51,118.0,127.0,7.58,0,0,1,0
28.0,2,5.35,1.08,1.37,5.38,5.22,39.0,155.0,8.2,0,0,1,0
25.0,1,3.86,2.66,2.2,3.2,4.75,20.0,124.0,4.58,2,0,2,0
35.0,2,6.49,2.54,1.53,1.53,4.7,132.0,134.0,7.65,1,1,1,0
21.0,2,3.77,2.39,2.17,5.84,7.15,161.0,30.0,6.37,2,0,1,0
25.0,0,7.29,0.93,3.61,4.43,6.76,250.0,147.0,9.79,2,1,1,0
20.0,0,3.78,3.56,2.21,5.21,6.84,243.0,18.0,6.25,2,0,2,0
22.0,0,4.33,3.73,3.03,5.67,8.66,164.0,40.0,6.79,2,0,1,0
25.0,1,3.44,3.11,1.07,2.55,6.02,223.0,92.0,4.72,1,1,2,0
19.0,1,5.25,3.01,3.67,4.38,5.73,230.0,133.0,7.01,2,1,2,0
21.0,2,7.34,2.35,1.11,2.29,5.75,187.0,91.0,8.31,2,1,1,0
33.0,2,4.15,1.92,3.23,4.7,5.32,194.0,100.0,6.29,0,0,2,0
22.0,2,3.92,3.27,1.22,0.86,4.71,94.0,131.0,6.24,2,0,1,0
21.0,2,7.48,3.85,3.11,5.07,8.88,111.0,119.0,8.72,0,0,1,0
33.0,0,5.98,0.52,2.69,5.49,8.26,191.0,141.0,6.85,0,1,2,0
28.0,1,4.65,2.7,3.85,2.0,6.24,237.0,137.0,7.15,2,1,2,0
23.0,2,7.55,3.08,1.98,1.41,7.88,102.0,76.0,8.88,1,1,1,0
30.0,1,6.63,1.79,1.84,4.91,6.52,239.0,142.0,8.25,0,0,1,0
25.0,2,3.02,2.45,2.53,4.9,6.96,115.0,42.0,3.63,0,0,2,0
31.0,2,3.96,3.86,0.75,5.62,6.27,137.0,63.0,6.25,0,0,2,0
35.0,1,7.32,3.64,2.67,2.8,7.87,235.0,151.0,8.53,1,1,1,0
19.0,0,6.23,2.99,2.46,4.22,7.03,77.0,180.0,8.13,0,0,1,0
31.0,0,5.51,1.95,0.64,5.15,4.53,139.0,54.0,6.11,1,1,1,0
27.0,2,3.22,3.34,3.08,3.33,6.79,144.0,26.0,4.46,2,1,1,0
18.0,0,6.51,1.15,0.02,4.46,4.78,210.0,164.0,7.12,0,0,1,0
20.0,0,5.26,1.59,2.32,5.73,6.11,191.0,75.0,6.01,2,1,2,0
21.0,1,4.58,3.84,3.37,5.22,5.13,157.0,65.0,5.74,2,1,2,0
33.0,2,5.09,1.95,0.94,4.18,6.83,222.0,107.0,6.56,1,1,2,0
20.0,0,7.65,2.57,3.63,3.34,6.09,242.0,103.0,9.37,1,1,1,0
23.0,0,5.07,3.33,1.12,1.33,5.21,174.0,45.0,7.22,1,0,2,0
33.0,1,7.31,3.75,2.59,2.76,5.6,52.0,161.0,9.29,0,1,1,0
23.0,0,5.32,1.49,3.83,3.8,7.04,24.0,87.0,8.19,0,0,1,0
23.0,2,4.97,2.76,0.57,3.7,7.95,179.0,145.0,6.13,2,0,1,0
20.0,0,5.07,2.62,0.43,1.61,8.37,149.0,122.0,7.64,2,1,2,0
26.0,2,7.29,1.78,3.44,2.06,8.45,124.0,80.0,8.26,2,1,1,0
31.0,2,3.79,1.95,1.48,3.85,7.76,122.0,172.0,5.93,1,1,2,0
33.0,2,6.95,1.61,2.63,4.92,5.79,28.0,168.0,8.73,2,1,1,0
18.0,0,5.35,2.74,0.43,0.9,5.82,49.0,146.0,8.24,2,0,1,0
18.0,2,3.11,1.66,2.32,2.29,7.26,86.0,62.0,4.98,0,0,1,0
28.0,1,6.29,3.24,0.84,4.35,6.18,238.0,117.0,7.49,0,1,1,0
30.0,2,3.93,0.85,3.51,3.52,4.62,121.0,149.0,6.34,0,1,1,0
27.0,1,3.1,3.38,3.03,1.25,5.79,156.0,17.0,5.32,1,0,1,0
25.0,1,5.37,2.82,0.96,4.7,8.59,226.0,84.0,6.58,2,0,1,0
20.0,2,4.64,2.09,2.55,3.9,5.72,179.0,140.0,5.61,0,1,2,0
18.0,0,4.67,1.06,1.08,4.43,7.77,79.0,38.0,5.55,1,1,1,0
21.0,0,6.56,1.84,3.88,3.7,7.61,196.0,167.0,7.45,0,1,1,0
25.0,0,5.85,3.57,2.58,2.41,8.51,207.0,64.0,6.4,1,0,2,0
35.0,1,4.44,3.42,1.8,5.01,6.94,136.0,15.0,6.88,2,0,2,0
27.0,1,3.83,2.7,3.67,4.54,7.76,222.0,138.0,4.76,2,1,1,0
30.0,1,3.71,0.81,3.08,2.41,8.18,126.0,45.0,6.38,0,1,1,0
27.0,1,7.72,2.26,2.26,2.3,7.64,59.0,27.0,9.9,1,0,1,0
31.0,2,5.61,2.67,0.53,0.95,7.07,32.0,155.0,7.11,0,0,1,0
19.0,1,5.19,3.92,0.59,5.08,5.79,107.0,43.0,6.45,1,1,1,0
35.0,1,4.91,3.51,3.0,3.52,7.3,56.0,19.0,6.35,2,1,1,0
22.0,0,6.84,2.22,2.42,2.97,5.09,187.0,50.0,8.79,2,1,1,0
26.0,0,3.11,3.24,1.99,4.94,7.24,146.0,75.0,4.15,2,0,1,0
32.0,1,3.71,3.8,0.98,3.51,7.29,162.0,68.0,4.33,0,1,1,0
35.0,2,4.6,3.0,2.32,5.62,4.92,96.0,97.0,6.02,1,1,1,0
20.0,2,5.64,1.24,2.78,2.01,6.87,154.0,68.0,7.88,2,1,2,0
33.0,0,7.68,3.98,1.97,1.49,7.24,201.0,89.0,10.63,0,1,1,0
27.0,1,5.29,0.87,1.2,3.52,7.95,49.0,100.0,6.64,2,1,2,0
18.0,0,6.05,2.56,2.14,1.41,7.23,67.0,167.0,6.84,1,0,1,0
22.0,0,4.85,0.7,1.55,5.26,5.02,99.0,26.0,7.07,2,1,1,0
19.0,0,3.95,0.8,1.71,1.48,7.18,171.0,176.0,6.54,2,0,1,0
22.0,2,7.57,2.73,2.86,1.09,7.0,38.0,92.0,9.4,1,0,1,0
20.0,2,4.14,0.92,3.14,1.89,7.27,90.0,80.0,4.68,0,1,2,0
32.0,0,6.33,1.46,3.13,1.8,5.31,155.0,23.0,7.69,0,1,1,0
32.0,0,6.59,2.16,2.98,4.64,6.9,117.0,114.0,8.28,0,0,1,0
35.0,1,3.1,0.55,0.27,2.76,6.86,195.0,129.0,4.48,2,0,1,0
19.0,0,3.21,1.01,3.75,4.11,8.26,173.0,178.0,4.01,0,1,2,0
30.0,1,4.61,3.21,0.58,4.73,5.48,184.0,42.0,7.39,2,0,2,0
33.0,2,4.09,3.44,3.97,2.33,5.86,34.0,176.0,7.08,2,1,1,0
28.0,2,3.72,3.03,3.07,4.06,5.29,30.0,113.0,5.87,1,0,2,0
23.0,1,6.02,1.16,0.56,2.78,7.63,161.0,57.0,7.62,2,1,1,0
31.0,1,3.04,1.8,0.47,3.42,4.93,112.0,153.0,4.81,1,1,1,0
24.0,0,4.01,1.32,3.38,5.51,6.74,60.0,26.0,4.65,1,0,2,0
32.0,0,7.13,1.44,1.37,5.38,7.22,222.0,178.0,10.01,0,1,1,0
35.0,1,4.02,3.13,3.76,3.69,8.82,73.0,72.0,5.32,1,0,1,0
20.0,1,6.36,2.99,2.01,5.06,6.62,156.0,151.0,9.11,1,0,1,0
32.0,1,3.79,2.65,0.72,5.77,4.85,62.0,85.0,4.57,0,0,2,0
22.0,2,6.22,0.79,1.44,4.0,8.8,32.0,89.0,7.45,2,1,1,0
29.0,2,4.25,2.93,3.95,3.38,8.87,64.0,92.0,4.82,0,1,2,0
25.0,1,7.54,0.88,3.28,4.7,6.88,203.0,64.0,10.45,0,1,1,0
33.0,1,4.04,2.06,2.4,2.22,8.89,133.0,72.0,5.92,1,0,2,0
32.0,1,5.83,2.57,1.84,0.68,7.0,240.0,92.0,8.54,0,0,1,0
19.0,2,5.68,3.65,3.22,3.94,8.81,203.0,163.0,6.42,1,0,2,0
34.0,0,7.28,1.65,3.18,4.08,5.86,225.0,91.0,8.86,2,0,1,0
30.0,2,5.26,3.33,2.69,3.51,8.46,180.0,147.0,7.92,2,0,2,0
23.0,2,5.31,3.81,1.62,1.12,5.36,82.0,94.0,6.97,2,0,1,0
19.0,1,4.82,2.0,0.12,4.84,5.75,160.0,60.0,6.93,0,0,2,0
20.0,1,5.83,2.14,0.25,5.75,8.54,191.0,38.0,7.32,2,1,2,0
24.0,1,6.76,2.75,0.58,2.1,5.68,178.0,130.0,9.53,1,0,1,0
33.0,2,4.2,2.28,2.77,4.28,7.71,201.0,123.0,6.54,1,1,2,0
30.0,0,5.72,2.67,1.48,5.82,7.02,168.0,60.0,6.87,2,0,1,0
22.0,0,3.49,1.51,1.88,1.4,6.6,49.0,141.0,4.09,1,0,1,0
31.0,0,3.84,3.32,3.89,4.22,7.41,202.0,54.0,6.67,2,1,1,0
34.0,2,3.97,2.84,0.38,4.13,7.06,84.0,105.0,5.11,0,1,2,0
32.0,0,4.62,1.5,1.57,0.96,8.45,96.0,95.0,6.59,1,0,1,0
23.0,1,4.9,0.93,3.93,1.93,7.53,131.0,151.0,5.44,1,1,2,0
20.0,0,4.13,0.58,0.45,0.59,8.87,239.0,21.0,5.15,2,1,2,0
35.0,1,4.72,2.16,1.85,3.11,4.6,62.0,54.0,7.07,1,0,1,0
28.0,1,7.98,1.97,2.59,5.39,5.03,179.0,180.0,9.35,2,0,1,0
23.0,0,4.8,3.83,0.4,2.79,8.97,97.0,75.0,5.82,0,1,1,0
22.0,0,4.11,1.61,3.88,4.73,4.53,233.0,136.0,5.46,2,1,2,0
21.0,2,4.32,2.84,1.65,1.01,6.41,53.0,136.0,5.36,0,0,1,0
35.0,2,7.67,2.67,1.05,3.24,6.41,132.0,140.0,10.0,1,1,1,0
31.0,1,3.99,2.53,1.16,3.38,5.03,98.0,110.0,5.25,1,1,2,0
31.0,1,4.62,0.63,2.11,2.6,4.91,45.0,153.0,5.54,0,1,1,0
22.0,0,5.76,2.74,0.68,3.88,5.96,26.0,29.0,7.01,0,0,2,0
19.0,2,5.87,3.54,0.26,0.66,7.35,246.0,19.0,7.04,2,1,2,0
22.0,2,5.74,2.74,0.34,4.0,5.42,56.0,110.0,7.59,0,1,1,0
30.0,0,4.75,0.95,2.29,0.64,7.82,196.0,123.0,7.64,0,1,2,0
27.0,0,3.57,3.94,0.11,2.88,4.61,224.0,175.0,6.41,1,1,2,0
25.0,0,4.24,0.74,0.51,3.71,6.81,186.0,106.0,5.52,2,1,2,0
28.0,1,4.46,3.0,3.16,0.73,5.49,20.0,178.0,5.52,0,0,2,0
21.0,2,4.28,2.92,2.53,5.52,6.12,27.0,65.0,5.27,0,1,1,0
23.0,0,6.06,3.55,0.71,0.62,8.29,45.0,20.0,8.64,0,0,1,0
24.0,1,5.75,1.82,3.24,4.13,8.74,224.0,174.0,8.45,2,1,2,0
28.0,1,5.22,3.96,1.12,1.2,6.79,169.0,140.0,6.24,0,0,2,0
19.0,0,7.19,3.92,1.7,3.07,6.34,225.0,142.0,8.48,1,1,1,0
25.0,1,5.39,0.92,3.61,2.12,6.76,159.0,179.0,6.09,1,1,2,0
27.0,1,5.54,2.41,3.99,5.7,8.2,213.0,18.0,7.22,2,1,1,0
31.0,0,4.89,2.97,2.23,2.56,7.1,52.0,93.0,7.75,0,0,1,0
32.0,0,5.48,0.54,0.57,0.85,6.3,226.0,78.0,7.29,2,0,1,0
32.0,0,4.48,1.64,0.18,0.65,7.37,192.0,133.0,5.93,2,0,2,0
19.0,1,3.1,1.13,3.67,2.3,7.87,144.0,133.0,3.77,2,1,1,0
27.0,0,7.0,3.79,0.19,2.58,5.41,83.0,110.0,9.77,0,1,1,0
29.0,1,5.91,0.58,2.62,0.57,5.46,76.0,31.0,8.05,1,0,2,0
22.0,2,5.99,3.99,3.54,2.25,8.33,143.0,32.0,7.33,2,0,1,0
22.0,0,6.37,2.13,0.61,1.62,4.67,205.0,168.0,9.34,1,0,1,0
18.0,2,3.58,3.2,3.81,0.79,8.96,72.0,47.0,4.31,2,1,2,0
20.0,0,6.84,3.07,0.66,1.59,6.41,175.0,78.0,8.1,2,0,1,0
23.0,0,4.75,2.9,1.02,5.52,7.75,150.0,140.0,6.84,1,1,1,0
25.0,0,5.18,0.69,3.25,3.97,7.54,198.0,180.0,6.05,2,0,2,0
24.0,1,4.67,0.82,0.73,4.68,5.67,250.0,119.0,6.27,2,1,2,0
27.0,1,3.77,1.19,0.26,0.66,5.56,144.0,40.0,4.29,1,1,2,0
33.0,2,6.6,3.87,0.33,2.85,8.69,141.0,40.0,8.94,1,1,1,0
34.0,2,3.29,3.24,0.35,5.08,8.98,243.0,134.0,4.21,1,1,1,0
35.0,1,5.17,1.66,3.01,4.13,4.9,131.0,22.0,6.07,1,0,1,0
21.0,0,5.62,1.11,1.36,3.76,5.35,49.0,161.0,7.04,1,0,2,0
18.0,2,7.84,3.03,0.58,5.69,8.27,147.0,131.0,8.71,1,1,1,0
21.0,2,4.63,3.8,0.72,3.55,8.1,51.0,25.0,5.45,0,1,2,0
31.0,1,3.67,1.9,1.53,5.47,6.3,41.0,80.0,5.86,2,1,2,0
30.0,0,3.23,3.82,0.31,1.19,4.99,160.0,119.0,3.89,2,1,1,0
33.0,2,3.86,2.42,2.29,2.05,5.72,45.0,27.0,4.79,1,1,1,0
32.0,0,4.46,2.45,1.74,2.48,8.42,70.0,43.0,5.43,0,1,1,0
28.0,0,6.87,3.78,0.03,3.14,5.77,41.0,124.0,7.99,0,1,1,0
22.0,0,5.06,1.23,0.15,5.95,8.68,129.0,19.0,7.1,0,1,1,0
34.0,0,5.76,3.98,0.93,2.35,6.66,150.0,124.0,7.87,1,1,1,0
24.0,1,4.74,2.95,0.39,5.68,7.29,97.0,136.0,7.71,0,1,2,0
23.0,1,3.03,3.65,2.37,0.55,8.68,151.0,131.0,4.79,2,0,1,0
27.0,2,5.92,0.81,3.26,5.03,5.49,91.0,60.0,7.06,0,1,1,0
27.0,2,4.47,1.48,1.58,3.84,4.81,38.0,124.0,5.58,2,0,2,0
29.0,2,3.69,2.34,1.44,5.59,4.88,31.0,169.0,4.57,1,0,2,0
21.0,1,3.54,2.42,3.4,5.27,8.19,95.0,132.0,4.4,2,0,2,0
25.0,0,3.5,1.26,3.85,4.37,6.2,26.0,123.0,4.93,2,1,2,0
23.0,2,3.27,2.51,0.32,0.92,7.06,228.0,121.0,4.14,0,0,2,0
23.0,0,7.53,0.56,3.33,4.24,8.44,161.0,81.0,10.33,2,0,1,0
23.0,2,5.45,1.01,1.51,5.73,7.84,122.0,173.0,6.09,1,1,2,0
19.0,0,5.16,0.97,2.28,0.75,8.94,143.0,26.0,5.78,0,0,2,0
33.0,0,3.88,0.58,3.07,2.2,8.4,224.0,37.0,5.63,1,0,2,0
23.0,1,3.61,3.67,1.41,0.89,7.7,137.0,81.0,6.58,1,0,2,0
31.0,1,7.55,1.95,3.5,4.25,7.29,184.0,29.0,9.9,0,1,1,0
27.0,1,6.38,3.64,3.42,1.73,8.43,191.0,38.0,7.75,1,0,1,0
33.0,0,4.03,3.0,2.18,5.72,5.15,74.0,96.0,5.95,2,0,2,0
27.0,2,4.48,2.42,1.68,3.12,7.6,61.0,126.0,5.87,2,0,2,0
24.0,0,6.78,3.5,0.66,2.58,6.07,68.0,162.0,9.67,1,0,1,0
23.0,1,7.13,2.55,2.21,1.39,6.46,92.0,126.0,9.22,2,1,1,0
24.0,1,5.01,3.0,1.52,1.58,6.61,51.0,104.0,7.93,1,0,1,0
18.0,1,4.38,2.56,3.27,5.01,7.2,105.0,58.0,7.28,1,1,1,0
20.0,2,3.84,2.91,2.52,3.76,4.63,201.0,154.0,6.64,0,0,2,0
27.0,0,5.36,1.49,0.31,5.15,8.61,73.0,115.0,6.11,0,0,2,0
20.0,0,4.89,2.81,3.56,3.98,6.53,61.0,61.0,6.14,0,1,2,0
29.0,1,7.36,3.88,2.19,1.37,7.84,51.0,64.0,9.38,2,1,1,0
29.0,2,4.03,1.69,1.31,1.71,7.77,52.0,83.0,5.21,0,1,1,0
27.0,0,4.49,1.63,2.89,2.88,6.51,172.0,84.0,7.03,2,1,1,0
24.0,2,3.45,3.22,0.19,2.01,5.04,135.0,58.0,5.45,2,0,2,0
18.0,2,3.63,1.02,3.21,4.48,5.74,212.0,103.0,5.13,2,0,1,0
22.0,2,5.87,1.31,2.34,5.18,8.53,183.0,129.0,8.04,2,1,1,0
33.0,2,3.54,0.57,0.86,5.0,5.35,46.0,102.0,4.56,2,0,1,0
20.0,1,5.5,1.4,1.23,5.28,7.42,57.0,133.0,8.19,2,1,2,0
32.0,2,4.68,0.66,2.65,2.99,5.7,160.0,36.0,6.07,0,1,1,0
31.0,2,7.57,0.79,1.09,1.04,7.42,207.0,123.0,8.55,0,0,1,0
26.0,1,7.77,3.21,1.73,4.25,7.41,48.0,71.0,8.56,0,0,1,0
35.0,1,3.91,1.75,2.48,4.44,6.26,45.0,71.0,6.24,2,0,1,0
27.0,0,3.14,0.73,1.13,3.76,4.74,98.0,16.0,4.72,2,1,2,0
20.0,2,5.62,0.68,3.73,1.87,7.55,118.0,123.0,7.12,0,0,1,0
27.0,0,4.56,2.9,3.5,4.92,5.13,216.0,66.0,5.69,1,1,1,0
29.0,2,7.22,2.85,1.68,2.76,4.62,163.0,21.0,10.11,1,1,1,0
22.0,2,5.71,2.21,3.96,0.54,6.68,196.0,66.0,6.5,0,1,2,0
21.0,2,5.22,1.07,0.1,3.28,6.26,51.0,91.0,6.73,0,1,1,0
27.0,0,5.61,1.05,2.36,2.52,5.74,118.0,42.0,7.27,1,1,2,0
32.0,2,4.08,2.64,2.32,0.69,7.43,188.0,173.0,5.69,1,1,1,0
33.0,0,5.08,3.81,1.32,1.73,8.73,232.0,79.0,6.56,1,1,2,0
18.0,0,3.29,2.82,0.8,5.38,4.77,72.0,155.0,5.83,1,1,2,0
31.0,1,7.95,1.14,0.47,3.89,8.57,110.0,64.0,9.31,0,1,1,0
22.0,1,6.95,2.05,1.26,3.81,8.51,94.0,48.0,8.97,1,1,1,0
30.0,1,3.35,2.01,1.07,1.88,7.44,217.0,170.0,3.88,1,0,1,0
35.0,2,5.83,0.85,0.72,4.71,5.74,242.0,141.0,6.65,2,1,2,0
24.0,0,5.93,2.54,3.29,2.79,7.39,244.0,87.0,6.79,1,0,1,0
26.0,0,4.76,3.66,3.64,2.31,8.1,112.0,74.0,6.4,2,1,2,0
31.0,2,6.26,2.44,2.02,5.53,7.44,174.0,73.0,7.88,1,1,1,0
35.0,2,5.17,2.11,1.35,5.04,6.01,175.0,172.0,5.94,2,1,2,0
28.0,2,3.43,3.35,2.1,3.3,8.68,93.0,97.0,4.89,0,1,2,0
24.0,1,6.87,2.03,3.52,2.23,6.06,62.0,45.0,8.09,1,0,1,0
31.0,0,3.61,3.57,0.83,1.48,6.38,87.0,172.0,5.06,2,1,1,0
28.0,2,4.16,3.47,3.8,0.62,6.21,219.0,100.0,6.94,2,1,2,0
27.0,1,3.22,3.97,2.75,0.69,7.87,228.0,111.0,5.36,0,0,2,0
20.0,0,3.86,1.43,3.46,3.19,5.62,56.0,118.0,5.9,1,1,2,0
35.0,1,6.76,0.55,0.47,5.98,7.74,245.0,84.0,8.57,2,0,1,0
27.0,2,7.71,1.62,2.46,4.43,6.84,84.0,135.0,9.37,1,1,1,0
33.0,1,3.09,2.79,0.6,0.87,8.9,99.0,63.0,4.09,0,0,1,0
34.0,2,5.85,0.93,2.42,1.68,5.25,182.0,86.0,8.13,1,0,1,0
26.0,2,5.47,0.81,2.29,0.67,7.73,140.0,170.0,7.55,1,1,1,0
34.0,0,4.33,1.97,0.69,0.74,7.24,196.0,144.0,5.85,2,1,1,0
35.0,1,6.16,2.38,2.27,4.33,7.05,138.0,37.0,6.95,0,1,1,0
24.0,1,4.59,2.12,2.79,1.95,6.7,168.0,108.0,5.96,2,0,2,0
30.0,2,4.4,3.63,3.98,2.89,7.41,194.0,88.0,5.42,2,0,2,0
24.0,2,5.32,3.07,0.13,1.13,7.46,67.0,136.0,6.17,2,0,1,0
21.0,0,4.68,2.47,0.65,3.51,7.88,132.0,172.0,6.32,2,0,1,0
25.0,0,5.27,2.55,1.35,4.23,5.85,244.0,74.0,7.68,2,1,1,0
23.0,1,5.71,0.94,0.94,1.62,4.91,82.0,54.0,7.92,1,1,1,0
29.0,0,3.9,3.52,1.58,1.67,6.63,116.0,133.0,6.17,0,0,2,0
22.0,1,6.6,2.3,1.13,4.21,8.43,172.0,115.0,8.44,1,0,1,0
24.0,0,3.4,2.16,0.37,2.61,5.31,58.0,87.0,4.68,2,0,2,0
31.0,0,4.62,2.69,2.07,1.09,8.13,108.0,40.0,6.76,1,1,2,0
32.0,2,5.54,1.17,1.96,2.52,8.5,195.0,109.0,6.67,1,0,2,0
26.0,1,4.61,2.46,0.07,2.29,7.36,172.0,43.0,6.0,0,0,2,0
20.0,1,7.81,1.19,0.58,3.21,8.52,108.0,132.0,10.03,0,0,1,0
28.0,2,3.87,1.74,2.84,1.72,7.25,206.0,170.0,6.44,2,0,1,0
